TEMPLATE OIL/GAS/MINING/LAND -   RESOURCECONTRACTS.ORG ,,Jan-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"An Act to Ratify the Forest Management Contract Area ""P"" in Grand Kru, Maryland & River Gee Counties Between the Republic of Liberia Represented by the Forestry Development Authority and Atlantic Resources Ltd. ",,,,,FOR UPLOADERS - AUTOMATICALLY FILLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction et entretien d'infrastructure,Construction and maintenance of infrastructure,"Atlantic Resources shall ensure that all infrastructure and works installed in relation to the contract comply with the Liberian code of forest harvesting practices and other applicable laws. Atlantic Resources shall design, construct, and maintain infrastructure and works in a manner that avoids unreasonable risk to safety, health, welfare, and the environment. Once Atlantic Resources has approved a completed installation, the Forestry Development Authority shall inspect the installation within 15 days, so as not to unnecessarily delay the progress of Atlantic Resource's operations. Atlantic Resources shall request approval for the construction or major maintenance of roads and buildings, any erosion control projects and any other significant land-disturbing activities it undertakes in relation to the contract. Atlantic Resources is responsible for: (i) maintaining erosion control devices for 5 years from the date of acceptance or until the contract termination date (September 16, 2024); and (ii) repairing all road damage for 3 years from the date of acceptance or until the contract termination date. Until Atlantic Resources gains Forestry Development Authority's acceptance for any infrastructure or work following the inspection, Atlantic Resources remains liable for repair or compensation of the work, regardless of the time elapsed.",Art. B6.18,36 (middle),,Construction et entretien d'infrastructure//Construction and maintenance of infrastructure,"Atlantic Resources shall ensure that all infrastructure and works installed in relation to the contract comply with the Liberian code of forest harvesting practices and other applicable laws. Atlantic Resources shall design, construct, and maintain infrastructure and works in a manner that avoids unreasonable risk to safety, health, welfare, and the environment. Once Atlantic Resources has approved a completed installation, the Forestry Development Authority shall inspect the installation within 15 days, so as not to unnecessarily delay the progress of Atlantic Resource's operations. Atlantic Resources shall request approval for the construction or major maintenance of roads and buildings, any erosion control projects and any other significant land-disturbing activities it undertakes in relation to the contract. Atlantic Resources is responsible for: (i) maintaining erosion control devices for 5 years from the date of acceptance or until the contract termination date (September 16, 2024); and (ii) repairing all road damage for 3 years from the date of acceptance or until the contract termination date. Until Atlantic Resources gains Forestry Development Authority's acceptance for any infrastructure or work following the inspection, Atlantic Resources remains liable for repair or compensation of the work, regardless of the time elapsed.--Art. B6.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercialisation et accès gouvernemental à la production ,Marketing of output and state access to output,,,,,Commercialisation et accès gouvernemental à la production //Marketing of output and state access to output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utilisation d’infrastructure par les tiers,Third party use of infrastructure,,,,,Utilisation d’infrastructure par les tiers//Third party use of infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financement d’infrastructure,Financing of infrastructure,,,,,Financement d’infrastructure//Financing of infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propriété d’infrastructure,Ownership of infrastructure,All infrastructures revert to the Government upon termination of the contract. Atlantic must leave such facilities in a maintained and safe running order.,Art. B4.24,27 (top),,Propriété d’infrastructure//Ownership of infrastructure,All infrastructures revert to the Government upon termination of the contract. Atlantic must leave such facilities in a maintained and safe running order.--Art. B4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modes d'audit à l'égard des dispositions opérationnelles,Audit mechanisms - operational obligations,"The Forestry Development Authority must convene an ad hoc Contract audit committee to promptly complete an annual Contract audit including each specific and general provisions and written report in the first quarter of each fiscal year. After consultation with the appropriate agencies, Forestry Development Authority shall name up to five individuals to the Contract audit committee, including at least one representative from each of the following four organizations: Forestry Development Authority, the Ministry of Finance, the Ministry of Justice, and a civil society group not affiliated with or controlled by Atlantic. ",Art. B8.81,48 (bottom),,Modes d'audit à l'égard des dispositions opérationnelles//Audit mechanisms - operational obligations,"The Forestry Development Authority must convene an ad hoc Contract audit committee to promptly complete an annual Contract audit including each specific and general provisions and written report in the first quarter of each fiscal year. After consultation with the appropriate agencies, Forestry Development Authority shall name up to five individuals to the Contract audit committee, including at least one representative from each of the following four organizations: Forestry Development Authority, the Ministry of Finance, the Ministry of Justice, and a civil society group not affiliated with or controlled by Atlantic. --Art. B8.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activité de beneficiation/ valeur ajoutée,Value addition/downstream activities,Atlantic Resources shall install a sawmill for the value of US$ 2.2 million within 3 years from the contract effective Date). Plywood Mill/Vineer US$ 20 million,A2,15 (top),,Activité de beneficiation/ valeur ajoutée//Value addition/downstream activities,Atlantic Resources shall install a sawmill for the value of US$ 2.2 million within 3 years from the contract effective Date). Plywood Mill/Vineer US$ 20 million--A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autorisation pour utiliser les terres publique ou privées à l'extérieur de la zone de concession,Contracting party's permitted use of public or private land outside concession area,"Use of Public Lands Outside Contract Area: Atlantic Resources may not use public land outside the contract area, unless Atlantic Resources has express, written permission from the Forestry Development Authority to do so. Before requesting permission, Atlantic Resources must consult with all potentially affected communities that are party to social agreements with Atlantic Resources. Atlantic Resources must make a written record of the time, place, and general content of these consultations. Atlantic Resources's requests to the Forestry Development Authority to use such public lands must be in writing. For convenience, Atlantic Resources may make such requests in its annual operational plan. If made in this manner, these requests may be expressly and clearly identified as requests to use public land outside the contract area. The Forestry Development Authority shall approve or deny such requests as part of its review of the annual operational plan, and may deny the request while approving the remainder of the plan. The Forestry Development Authority shall not unreasonably deny permission to use such land. The Forestry Development Authority and Atlantic Resources shall negotiate the terms and conditions under which an easement or other use rights may be exercised. If Atlantic Resources occupies lands, the terms shall include payment of area fees and an amount for land rental at the land rental bid rate. The right to use such land does not extend to the right to harvest timber, unless the timber is taken to clear land for a right-of-way or yarding area. Use of Private Lands: Atlantic Resources may use private land with the express, written permission of the land owner. If Atlantic Resources is unable to obtain the permission of the land owner for such use, then use is limited to rights of way, and any compensation is governed by chapter 11 of the National Forestry Reform Law of 2006 and Forestry Development Authority Regulation 110-07. With or without permission of the land owner: i) Atlantic Resources shall not seek any use, lease, right-of-way, or easement that substantially interferes with the operations of another previously issued forest management contract or timber sale contract; and ii) Atlantic Resources shall not interfere with any good faith exercise of third-party rights to timber or forest products, including customary rights, without permission of the third party. ","Arts. B4.12, B4.13",24 (middle)-25 (top),,Autorisation pour utiliser les terres publique ou privées à l'extérieur de la zone de concession//Contracting party's permitted use of public or private land outside concession area,"Use of Public Lands Outside Contract Area: Atlantic Resources may not use public land outside the contract area, unless Atlantic Resources has express, written permission from the Forestry Development Authority to do so. Before requesting permission, Atlantic Resources must consult with all potentially affected communities that are party to social agreements with Atlantic Resources. Atlantic Resources must make a written record of the time, place, and general content of these consultations. Atlantic Resources's requests to the Forestry Development Authority to use such public lands must be in writing. For convenience, Atlantic Resources may make such requests in its annual operational plan. If made in this manner, these requests may be expressly and clearly identified as requests to use public land outside the contract area. The Forestry Development Authority shall approve or deny such requests as part of its review of the annual operational plan, and may deny the request while approving the remainder of the plan. The Forestry Development Authority shall not unreasonably deny permission to use such land. The Forestry Development Authority and Atlantic Resources shall negotiate the terms and conditions under which an easement or other use rights may be exercised. If Atlantic Resources occupies lands, the terms shall include payment of area fees and an amount for land rental at the land rental bid rate. The right to use such land does not extend to the right to harvest timber, unless the timber is taken to clear land for a right-of-way or yarding area. Use of Private Lands: Atlantic Resources may use private land with the express, written permission of the land owner. If Atlantic Resources is unable to obtain the permission of the land owner for such use, then use is limited to rights of way, and any compensation is governed by chapter 11 of the National Forestry Reform Law of 2006 and Forestry Development Authority Regulation 110-07. With or without permission of the land owner: i) Atlantic Resources shall not seek any use, lease, right-of-way, or easement that substantially interferes with the operations of another previously issued forest management contract or timber sale contract; and ii) Atlantic Resources shall not interfere with any good faith exercise of third-party rights to timber or forest products, including customary rights, without permission of the third party. --Arts. B4.12, B4.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autre - [le nom de catégorie],Other - [Name of Category],,,,,Autre - [le nom de catégorie]//Other - [Name of Category],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Dispositions diverses,6. Miscellaneous provisions,,,,,6. Dispositions diverses//6. Miscellaneous provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loi applicable en cas des différends,Governing law in case of dispute,The laws of the Republic of Liberia govern this Contract.,Article B3.41,23 (top),,Loi applicable en cas des différends//Governing law in case of dispute,The laws of the Republic of Liberia govern this Contract.--Article B3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbitrage et règlement des différends,Arbitration and dispute resolution,Should be on page 43 (missing),,,,Arbitrage et règlement des différends//Arbitration and dispute resolution,Should be on page 43 (missing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clause de stabilisation,Stabilization clause,Should be on page 43 (missing),,,,Clause de stabilisation//Stabilization clause,Should be on page 43 (missing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cession / transfert,Assignment / transfer,"Atlantic may not assign or transfer the Contract or any interests, rights, privileges, or obligations under it, without the prior written approval from the Government by and through the Ministry of Justice, Ministry of Finance, and the Forestry Development Authority. The Forestry Development Authority must not consent to any assignment or transfer of the Contract, except in compliance with the requirements of Forestry Development Authority Regulation 104-07, Section 71. ",Article B2.3,20 (bottom),,Cession / transfert//Assignment / transfer,"Atlantic may not assign or transfer the Contract or any interests, rights, privileges, or obligations under it, without the prior written approval from the Government by and through the Ministry of Justice, Ministry of Finance, and the Forestry Development Authority. The Forestry Development Authority must not consent to any assignment or transfer of the Contract, except in compliance with the requirements of Forestry Development Authority Regulation 104-07, Section 71. --Article B2.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annulation / Résiliation ,Cancellation / termination," In the case of a material breach by Atlantic, the Forest Development Authority shall give written Atlantic notice to suspect all operation, specify the particular breach and require Atlantic to remedy the breach within 90 days and pay any compensation due to the Government. If Atlantic fails to suspend operations, the Forest Development Authority must obtain a court order do so and to terminate the Contract with immediate effect.  If Atlantic suspends operations, but fails to remedy the breach within 90 days or such extended time as is allowed, the Forest Development Authority may terminate the Contract. The Forest Development Authority may not terminate the Contract if Atlantic: i) disputes the breach and ii) it has, within 90 days or such extended time as is allowed, referred the dispute to the Forest Development Authority for decision and has thereafter diligently prosecuted its claim. Upon termination by the Forest Development Authority, every right of Atlantic will cease and Atlantic will be liable for damages or any other obligations to the  Government under the Contract. In addition to any outstanding damages and Contract obligations, the Forestry Development Authority must charge Atlantic liquidated damages due to termination equivalent to total Land Rental Bid Fees for 1 year, which is the estimated time necessary to re-offer and sell the Contract.",Article B8.73,48 (middle),,Annulation / Résiliation //Cancellation / termination," In the case of a material breach by Atlantic, the Forest Development Authority shall give written Atlantic notice to suspect all operation, specify the particular breach and require Atlantic to remedy the breach within 90 days and pay any compensation due to the Government. If Atlantic fails to suspend operations, the Forest Development Authority must obtain a court order do so and to terminate the Contract with immediate effect.  If Atlantic suspends operations, but fails to remedy the breach within 90 days or such extended time as is allowed, the Forest Development Authority may terminate the Contract. The Forest Development Authority may not terminate the Contract if Atlantic: i) disputes the breach and ii) it has, within 90 days or such extended time as is allowed, referred the dispute to the Forest Development Authority for decision and has thereafter diligently prosecuted its claim. Upon termination by the Forest Development Authority, every right of Atlantic will cease and Atlantic will be liable for damages or any other obligations to the  Government under the Contract. In addition to any outstanding damages and Contract obligations, the Forestry Development Authority must charge Atlantic liquidated damages due to termination equivalent to total Land Rental Bid Fees for 1 year, which is the estimated time necessary to re-offer and sell the Contract.--Article B8.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indemnisation,Indemnification,"Atlantic must at all times indemnify and hold the Government and its officers and agents harmless from all claims and liabilities for the death of or injury to persons, and for damage to property, from any cause whatsoever arising out of Atlantic's operations or activities hereunder or as a result of Atlantic's failure to comply with any law or regulation. Atlantic acknowledges that in the event of any damage, injury, or loss caused by the acts or omissions of Atlantic's agents, Atlantic is liable for the damage, injury or loss to the extent provided by the laws of Liberia.",Article B3.46,23 (bottom)- 24 (top),,Indemnisation//Indemnification,"Atlantic must at all times indemnify and hold the Government and its officers and agents harmless from all claims and liabilities for the death of or injury to persons, and for damage to property, from any cause whatsoever arising out of Atlantic's operations or activities hereunder or as a result of Atlantic's failure to comply with any law or regulation. Atlantic acknowledges that in the event of any damage, injury, or loss caused by the acts or omissions of Atlantic's agents, Atlantic is liable for the damage, injury or loss to the extent provided by the laws of Liberia.--Article B3.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidentialité,Confidentiality,,,,,Confidentialité//Confidentiality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langue,Language,English,,,,Langue//Language,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligations de reporting et autres méthodes de contrôle de la conformité,Reporting Requirements and other methods of monitoring compliance,"Annual Reports: Atlantic must, within 90 days of completing operations under each annual operational plan, provide to Forestry Development Authority and the Ministry of Finance a written activity report that describes the previous year's operations, including the following: i) Identification of each harvesting block with a full description of the timber produced and the number, volume, and quality of trees per species felled, ii) A description of the differences between planned and actual silvicultural, logging, and processing activities, boundary clearing and infrastructure maintenance activities, community-based activities, monitoring and enforcement activities, and environmental mitigation activities, and iii) Any other information reasonably requested by Forestry Development Authority. At the same time, Atlantic must also provide to Forestry Development Authority a written security report that lists the number and type of illegal trespasses and timber thefts detected in the Contract Area during the previous year, along with strategies for improving security. Other Reporting Requirements: Atlantic must keep the contracting officer fully and regularly informed as to Atlantic's operations and any other activities related to this Contract. Atlantic must also comply with the Revenue and Finance Law concerning reporting related to taxes and fees. Upon written request by Forestry Development Authority, Atlantic must provide all documents required by Authority to determine Atlantic's compliance with monetary obligations.  Upon written request by the Forest Development Authority, Atlantic must also provide all other information of whatever kind that the Government or its agents may request to fully evaluate Atlantic's compliance with this Contract and all legal requirements related to Atlantic's operations.","Article B5.52, B5.53",31 (middle),,Obligations de reporting et autres méthodes de contrôle de la conformité//Reporting Requirements and other methods of monitoring compliance,"Annual Reports: Atlantic must, within 90 days of completing operations under each annual operational plan, provide to Forestry Development Authority and the Ministry of Finance a written activity report that describes the previous year's operations, including the following: i) Identification of each harvesting block with a full description of the timber produced and the number, volume, and quality of trees per species felled, ii) A description of the differences between planned and actual silvicultural, logging, and processing activities, boundary clearing and infrastructure maintenance activities, community-based activities, monitoring and enforcement activities, and environmental mitigation activities, and iii) Any other information reasonably requested by Forestry Development Authority. At the same time, Atlantic must also provide to Forestry Development Authority a written security report that lists the number and type of illegal trespasses and timber thefts detected in the Contract Area during the previous year, along with strategies for improving security. Other Reporting Requirements: Atlantic must keep the contracting officer fully and regularly informed as to Atlantic's operations and any other activities related to this Contract. Atlantic must also comply with the Revenue and Finance Law concerning reporting related to taxes and fees. Upon written request by Forestry Development Authority, Atlantic must provide all documents required by Authority to determine Atlantic's compliance with monetary obligations.  Upon written request by the Forest Development Authority, Atlantic must also provide all other information of whatever kind that the Government or its agents may request to fully evaluate Atlantic's compliance with this Contract and all legal requirements related to Atlantic's operations.--Article B5.52, B5.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clause de hardship ou force majeure,Hardship clause or force majeure,"A force majeure is defined as being any cause beyond the reasonable control of the parties and which the parties could not foresee and/or reasonably provide against that prevents the parties from wholly or partially performing any respective duties under the Contract for 15 consecutive days or more. Failure on the part of Atlantic or the Government to fulfill any of the terms and conditions of the Contract, other than Atlantic's obligations to make payments of money that accrued before the commencement of the force majeure, are not a breach of the Contract by either party insofar as such failure arose by force majeure.  If a force majeure causes a delay in Atlantic’s performance of the Contract, the period of such delay shall be added to the periods fixed by the Contract. A party affected by a force majeure must give written notice to the other party of the obligations affected and the reasons for failure within 30 days after the occurrence. Following a force majeure, the party whose performance was affected by the force majeure must take all reasonable steps within its power to make good and resume, with the least possible delay, compliance with its contractual obligations.",Article B8.5 ,45 (bottom)- 46 (top),,Clause de hardship ou force majeure//Hardship clause or force majeure,"A force majeure is defined as being any cause beyond the reasonable control of the parties and which the parties could not foresee and/or reasonably provide against that prevents the parties from wholly or partially performing any respective duties under the Contract for 15 consecutive days or more. Failure on the part of Atlantic or the Government to fulfill any of the terms and conditions of the Contract, other than Atlantic's obligations to make payments of money that accrued before the commencement of the force majeure, are not a breach of the Contract by either party insofar as such failure arose by force majeure.  If a force majeure causes a delay in Atlantic’s performance of the Contract, the period of such delay shall be added to the periods fixed by the Contract. A party affected by a force majeure must give written notice to the other party of the obligations affected and the reasons for failure within 30 days after the occurrence. Following a force majeure, the party whose performance was affected by the force majeure must take all reasonable steps within its power to make good and resume, with the least possible delay, compliance with its contractual obligations.--Article B8.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expropriation,Expropriation / nationalization,,,,,Expropriation//Expropriation / nationalization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autre - [le nom de catégorie],Other - [Name of Category],,,,,Autre - [le nom de catégorie]//Other - [Name of Category],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
